id,newspaper,year,month,day,link,ideology,hq,audience,region,format,hq latitude,hq longitude,foundedin,Label
15,ceda,1935,2,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=cd42c7c7-f6d9-4f1c-ad11-83835dafc8c8,carlist,madrid,adult,national,biweekly,40400,-3.703.790,1933,1933_15
16,ceda,1935,7,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=d436ff87-ccaf-455d-a1e0-999867b2a2db,carlist,madrid,adult,national,biweekly,40400,-3.703.790,1933,1933_16
17,el amigo,1915,11,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=88e3ea86-faff-4ae0-b04a-fc534f6838da,,madrid,youth,national,daily,40.416.775,-3500,1915,1915_17
18,el amigo,1917,7,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=be1588cf-3103-4dbc-b58a-b68a6614f2ba,,madrid,youth,national,daily,40.416.775,-3500,1915,1915_18
19,el amigo,1919,2,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=911ae3ba-c059-40fe-9ebf-de463d8f5697,,madrid,youth,national,daily,40.416.775,-3500,1915,1915_19
20,el amigo,1919,7,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=6b2aa781-252e-41dc-b76d-1c647b7abe8f,,madrid,youth,national,daily,40.416.775,-3500,1915,1915_20
21,el amigo,1919,7,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=2951efcb-4f18-449f-8a03-5bd0c01e49f4,,madrid,youth,national,daily,40.416.775,-3500,1915,1915_21
22,el cantábrico,1924,2,15,https://hemerotecadigital.bne.es/hd/es/viewer?id=dac64fab-f0ea-4966-96d6-2fee30609ac7,socialist,santander,adult,cantabria,weekly,43.462.774,-3.805.000,1895,1895_22
23,el cantábrico,1924,6,1,https://hemerotecadigital.bne.es/hd/es/viewer?id=8833fdae-d762-45e9-b161-d3e41a65c236,socialist,santander,adult,cantabria,weekly,43.462.774,-3.805.000,1895,1895_23
24,el cantábrico,1936,10,6,https://hemerotecadigital.bne.es/hd/es/viewer?id=c3c80d6e-bb3b-42df-bd0d-882bc03199a2,socialist,santander,adult,cantabria,weekly,43.462.774,-3.805.000,1895,1895_24
25,el cantábrico,1936,3,4,https://hemerotecadigital.bne.es/hd/es/viewer?id=8fa1a137-ba2f-49c9-9784-8291f4eeeb2d,socialist,santander,adult,cantabria,weekly,43.462.774,-3.805.000,1895,1895_25
26,el cantábrico,1937,1,22,https://hemerotecadigital.bne.es/hd/es/viewer?id=3fd06b37-aa61-419e-813a-db690d285a13,socialist,santander,adult,cantabria,weekly,43.462.774,-3.805.000,1895,1895_26
27,el cruzado español,1929,8,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=ac46aa79-66ad-46d3-b5fa-229dd667786e,carlist,madrid,adult,national,daily,40500,-3200,1929,1929_27
28,el cruzado español,1930,3,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=44426849-3ec4-429e-92cb-527e02bcb2f6,carlist,madrid,adult,national,daily,40500,-3200,1929,1929_28
29,el cruzado español,1930,9,19,https://hemerotecadigital.bne.es/hd/es/viewer?id=62461a27-4615-443c-8349-916527b92a85,carlist,madrid,adult,national,daily,40500,-3200,1929,1929_29
30,el cruzado español,1931,8,14,https://hemerotecadigital.bne.es/hd/es/viewer?id=4ddb68d5-f96b-432b-8626-ee91fc629a5a,carlist,madrid,adult,national,daily,40500,-3200,1929,1929_30
31,el cruzado español,1932,12,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=c88c30a1-159e-4852-9f5c-f2d6f7083ce5,carlist,madrid,adult,national,daily,40500,-3200,1929,1929_31
32,el cruzado español,1932,5,13,https://hemerotecadigital.bne.es/hd/es/viewer?id=5b0beb10-22d7-4d15-9b14-84955e3c1090,carlist,madrid,adult,national,daily,40500,-3200,1929,1929_32
33,el imparcial,1891,4,16,https://hemerotecadigital.bne.es/hd/es/viewer?id=d5e82d64-454c-4e83-a1d6-6518ba2a63b8,liberal,madrid,adult,national,daily,40000,-3.703.790,1867,1867_33
34,el imparcial,1895,7,10,https://hemerotecadigital.bne.es/hd/es/viewer?id=bafbbe54-712d-41a2-96d4-bc26dcc17c0a,liberal,madrid,adult,national,daily,40000,-3.703.790,1867,1867_34
35,el imparcial,1900,10,24,https://hemerotecadigital.bne.es/hd/es/viewer?id=4608e854-91a2-47f9-97a3-acd58635aab2,liberal,madrid,adult,national,daily,40000,-3.703.790,1867,1867_35
